Mixture	Conventional dendritic cells (cDCs)	Promyelocytes / GMPs	Naive CD8 T cells	Mature naive B cells	Myelocyte	Plasma cells	Class-switched memory B cells	Effector / memory CD4 T cells	Multipotent progenitors (MPPs)	pro-B cells	Effector / memory CD8 T cells	Plasmacytoid dendritic cells (pDCs)	NK cells	Megakaryocyte progenitors	Early MPPs	pDC progenitors	Naive CD4 T cells	Monocytes	Eosinophil / Basophil progenitors	Early EMP	Immature B cells	Early GMP	Metaphase MPPs	Central memory CD8 T cells	Transitional (T2) B cells	Unswitched memory B cells	Neutrophils	Transitional (T1) B cells	Gamma delta T cells	Correlation	RMSE
Effector / memory CD4 T cells	0.100646176842561	0.212758838367388	0.097079756328308	0.132084807592415	0.0286520502589278	0.0708006976694456	0.0236923345267739	0.166076964059179	0.0332975589708327	0	0	0	0.0236765196689762	0.0210762795367282	0	0.00255986401082368	0	0.0172097794732791	0	0	0.00402331272858266	0.00022078074384656	0.00644272390639496	0	0.0179402954565611	0	0.0041153698980395	0.0360753807897174	0.00157050917121945	0.999888007426361	0.107360542892739
Class-switched memory B cells	0.0570777679101123	0.284877506649566	0.0518193455259902	0.117181347915719	0.0353341231598027	0.0704606974629404	0.213122697378031	0.0306876485749587	0.0153071829569677	0.0193182892270161	0	0.00629843279267846	0.0255505266943015	0	0.0230325956131234	0	0.0168583490449873	0	0.0149455969122057	0.00568996382735387	0.00889864588099591	0.00309213858545689	0	0	0	0	0.00044714388779298	0	0	0.999930013969271	0.19190569944156
Multipotent progenitors (MPPs)	0.0384145888424874	0.193381885626989	0.0721974638518148	0.0837399976442943	0.0255436909631719	0.0679006065285399	0.0236285200154647	0.019991096323829	0.179075229856295	0.120269022432875	0	0	0.0307233346370723	0.0570690911922083	0	0.0484865471508723	0.0100108654552436	0	0	0.0211609769636076	0	0	0.0031823127054409	0.00370986267244137	0	0	0.0010837181264775	0	0.000431189010875603	0.999896844250155	0.205663884715959
NK cells	0.0447702750523165	0.172075958505057	0.0717137480360569	0.0854716527014027	0.0383753814097555	0.0474433207152599	0.0231891482390846	0.014476567777056	0.0319554448540295	0	0.128255166385757	0	0.227525057600954	0.0124653336417652	0	0.0360068464340879	0	0	0	0.00235506523018444	0	0.00103768033256437	0.00239656996271516	0.0160593328275762	0	0.0438409041210999	0	0	0.000586546173277747	0.999891638076434	0.26437384928437
Myelocyte	0.0313306754000282	0.169261350579044	0.0601176550545709	0.0942198936027065	0.284463886867551	0.073222167862867	0.0190029760855765	0.0165179237433164	0.0183928502262803	0.0468043571750534	0	0	0.0296199408323241	0	0.0644225224271992	0.0276841253268494	0.00652516102282413	0	0.00412161225360574	0.049258382967742	0.00153577915554886	0.00040729906673938	0	0	0	0	0	0.0030914403501728	0	0.999665600593486	0.365069186662542
Conventional dendritic cells (cDCs)	0.279525691223521	0.125940789771369	0.0643275354592333	0.0736563095221574	0.0394322863658664	0.0724657102610783	0.00903043370988478	0.0130397212389365	0.0150380209236033	0	0	0.0168038703155696	0.0170882848196982	0.0306870975969076	0	0	0	0.171724114818762	0	0	0.000167950984745057	0	0.0031811371602185	0.00577818232374741	0	0.0542717692463549	0.00645628870036812	0	0.00138480555797936	0.99959216263511	0.515458893382162
Plasma cells	0.0266724698975921	0.174424042189754	0.0734138798759296	0.0540788701935672	0.0268357785295833	0.467608759943408	0.0237662450055152	0.0100633096445015	0.0123732138210646	0.0404562684345832	0	0	0.0240695784782596	0.0222447472862505	0	0	0	0.0397818185477144	0	0	0	0	0.00344117277844861	0	0	0	0	0	0.000769845373828317	0.999864029619442	0.417825821726225
Naive CD8 T cells	0.0247168726553235	0.136359896009329	0.477289669265631	0.0552485571135879	0.0170101240945797	0.0562345591056464	0.0123948721567262	0.00986849104404998	0.016012626616412	0	0	0	0.0199188785841288	0	0.0118439225232342	0.0145966724272751	0.0338383983361374	0.00821839878702589	0.00407379831821736	0.0150694997539195	0.0114526930948452	0.00128546067202496	0	0.0397615885479077	0.0162089940874225	0	0.00596816635796306	0.0126278604486121	0	0.999933438131982	0.445458327741955
Mature naive B cells	0.0213377678982621	0.115401054137811	0.0445152452668634	0.501496821495681	0.0242319810046915	0.0468439971670715	0.0150833672795326	0.00996992099800343	0.00775077807390176	0.00460638499910152	0	0	0.0169976946999162	0	0	0.0700963593691214	0	0.042513519801058	0.0049310718915519	0	0.0152124089539778	0	0	0	0.0423947451032297	0	0.00107799750795679	0.0155388843522675	0	0.999831816382905	0.594541038939461
Promyelocytes / GMPs	0.0202613907934167	0.725353507659179	0.0289719970561341	0.0475603312724613	0.0153315423500732	0.0115477271104085	0.0104151331922919	0.00576013268349729	0.0130586904671225	0	0.0189974690982802	0	0.0108927769417362	0	0.0208953219623015	0.0167270322819402	0.00580730408115233	0	0.000594931165580951	0.0179031449558449	0.00523118305885082	0.00176487685438589	0	0.022925507015343	0	0	0	0	0	0.999906915538205	0.684748572368413
